時間,論理ID,タグID,中継器ID,送信番号,電波強度,電源電圧,piNo
2023-03-06 17:54:49.983,1,8201A0FF,No Relay,24,132,2950,1
2023-03-06 17:54:50.829,1,820198F4,No Relay,22,162,2990,1
2023-03-06 17:54:51.244,1,82019DEE,No Relay,31,192,3190,1
2023-03-06 17:54:51.532,1,82019A14,No Relay,26,198,3180,1
2023-03-06 17:54:52.636,1,82019C41,No Relay,41,168,2980,1
2023-03-06 17:54:52.843,1,8201A0FF,No Relay,25,132,2950,1
2023-03-06 17:54:53.242,1,820198F4,No Relay,23,162,3000,1
2023-03-06 17:54:53.689,1,82019C19,No Relay,21,168,2595,1
2023-03-06 17:54:53.993,1,82019DEE,No Relay,32,189,3200,1
2023-03-06 17:54:54.185,1,82019A14,No Relay,27,198,3180,1
2023-03-06 17:54:55.383,1,8201A0FF,No Relay,26,132,2950,1
2023-03-06 17:54:55.576,1,82019C41,No Relay,42,165,2980,1
2023-03-06 17:54:56.342,1,82019DEE,No Relay,33,192,3190,1
2023-03-06 17:54:56.534,1,82019C19,No Relay,22,168,2595,1
2023-03-06 17:54:56.933,1,82019A14,No Relay,28,198,3180,1
2023-03-06 17:54:58.452,1,820198F4,No Relay,25,162,2980,1
2023-03-06 17:54:58.947,1,82019C19,No Relay,23,168,2600,1
2023-03-06 17:54:59.139,1,82019DEE,No Relay,34,192,3200,1
2023-03-06 17:54:59.538,1,82019A14,No Relay,29,198,3180,1
2023-03-06 17:55:00.641,1,8201A0FF,No Relay,28,132,2950,1
2023-03-06 17:55:00.880,1,82019C41,No Relay,44,168,2980,1
2023-03-06 17:55:01.536,1,82019DEE,No Relay,35,192,3190,1
2023-03-06 17:55:01.743,1,82019C19,No Relay,24,168,2595,1
2023-03-06 17:55:02.159,1,82019A14,No Relay,30,198,3180,1
2023-03-06 17:55:03.166,1,8201A0FF,No Relay,29,132,2950,1
2023-03-06 17:55:03.373,1,82019C41,No Relay,45,168,2980,1
2023-03-06 17:55:03.629,1,820198F4,No Relay,27,168,2980,1
2023-03-06 17:55:04.157,1,82019DEE,No Relay,36,192,3190,1
2023-03-06 17:55:04.412,1,82019C19,No Relay,25,168,2595,1
2023-03-06 17:55:04.892,1,82019A14,No Relay,31,195,3180,1
2023-03-06 17:55:06.107,1,820198F4,No Relay,28,162,2980,1
2023-03-06 17:55:06.314,1,82019C41,No Relay,46,168,2980,1
2023-03-06 17:55:06.761,1,82019DEE,No Relay,37,192,3190,1
2023-03-06 17:55:06.953,1,82019C19,No Relay,26,168,2595,1
2023-03-06 17:55:07.512,1,82019A14,No Relay,32,198,3180,1
2023-03-06 17:55:08.567,1,820198F4,No Relay,29,162,2980,1
2023-03-06 17:55:09.030,1,82019C41,No Relay,47,168,2980,1
2023-03-06 17:55:09.334,1,82019DEE,No Relay,38,192,3190,1
2023-03-06 17:55:09.558,1,82019C19,No Relay,27,168,2595,1
2023-03-06 17:55:10.101,1,82019A14,No Relay,33,198,3180,1
2023-03-06 17:55:11.061,1,8201A0FF,No Relay,32,135,2950,1
2023-03-06 17:55:11.252,1,820198F4,No Relay,30,165,2980,1
2023-03-06 17:55:11.795,1,82019DEE,No Relay,39,192,3190,1
2023-03-06 17:55:11.988,1,82019C41,No Relay,48,168,2980,1
2023-03-06 17:55:12.211,1,82019C19,No Relay,28,168,2600,1
2023-03-06 17:55:12.818,1,82019A14,No Relay,34,198,3180,1
2023-03-06 17:55:13.618,1,8201A0FF,No Relay,33,132,2950,1
2023-03-06 17:55:13.842,1,820198F4,No Relay,31,168,2980,1
2023-03-06 17:55:14.160,1,82019DEE,No Relay,40,192,3200,1
2023-03-06 17:55:14.815,1,82019C41,No Relay,49,168,2980,1
2023-03-06 17:55:16.190,1,8201A0FF,No Relay,34,132,2950,1
2023-03-06 17:55:16.812,1,82019DEE,No Relay,41,192,3190,1
2023-03-06 17:55:17.453,1,82019C41,No Relay,50,168,2980,1
2023-03-06 17:55:19.162,1,82019DEE,No Relay,42,192,3190,1
2023-03-06 17:55:19.945,1,82019C41,No Relay,51,168,2980,1
2023-03-06 17:55:20.506,1,82019A14,No Relay,37,198,3180,1
2023-03-06 17:55:21.847,1,82019DEE,No Relay,43,192,3190,1
2023-03-06 17:55:22.358,1,82019C41,No Relay,52,168,2980,1
2023-03-06 17:55:23.285,1,82019A14,No Relay,38,198,3180,1
2023-03-06 17:55:24.389,1,82019DEE,No Relay,44,192,3190,1
2023-03-06 17:55:25.043,1,82019C41,No Relay,53,165,2980,1
2023-03-06 17:55:25.236,1,82019C19,No Relay,33,168,2595,1
2023-03-06 17:55:26.130,1,82019A14,No Relay,39,198,3180,1
2023-03-06 17:55:26.978,1,82019DEE,No Relay,45,192,3190,1
2023-03-06 17:55:27.520,1,82019C19,No Relay,34,168,2600,1
2023-03-06 17:55:28.910,1,82019A14,No Relay,40,198,3180,1
2023-03-06 17:55:29.502,1,82019DEE,No Relay,46,192,3190,1
2023-03-06 17:55:30.013,1,82019C19,No Relay,35,168,2595,1
2023-03-06 17:55:30.765,1,82019C41,No Relay,55,168,2980,1
2023-03-06 17:55:31.754,1,82019A14,No Relay,41,198,3180,1
2023-03-06 17:55:31.994,1,8201A0FF,No Relay,40,132,2950,1
2023-03-06 17:55:32.266,1,82019DEE,No Relay,47,192,3190,1
2023-03-06 17:55:32.491,1,820198F4,No Relay,38,168,2980,1
2023-03-06 17:55:32.713,1,82019C19,No Relay,36,168,2595,1
2023-03-06 17:55:33.417,1,82019C41,No Relay,56,168,2980,1
2023-03-06 17:55:34.615,1,82019A14,No Relay,42,198,3180,1
2023-03-06 17:55:34.824,1,8201A0FF,No Relay,41,138,2950,1
2023-03-06 17:55:35.031,1,82019DEE,No Relay,48,192,3190,1
2023-03-06 17:55:35.910,1,82019C41,No Relay,57,168,2980,1
2023-03-06 17:55:37.157,1,82019A14,No Relay,43,180,3180,1
2023-03-06 17:55:38.371,1,82019C41,No Relay,58,183,2980,1
2023-03-06 17:55:40.113,1,8201A0FF,No Relay,43,156,2950,1
2023-03-06 17:55:40.306,1,82019DEE,No Relay,50,210,3200,1
2023-03-06 17:55:40.497,1,820198F4,No Relay,41,144,2980,1
2023-03-06 17:55:40.833,1,82019C41,No Relay,59,207,2980,1
2023-03-06 17:55:42.638,1,82019A14,No Relay,45,207,3180,1
2023-03-06 17:55:42.831,1,820198F4,No Relay,42,195,2980,1
2023-03-06 17:55:43.037,1,82019DEE,No Relay,51,228,3190,1
2023-03-06 17:55:43.229,1,82019C19,No Relay,40,168,2595,1
2023-03-06 17:55:43.437,1,8201A0FF,No Relay,44,159,2950,1
2023-03-06 17:55:43.678,1,82019C41,No Relay,60,201,2980,1
2023-03-06 17:55:45.227,1,820198F4,No Relay,43,204,2980,1
2023-03-06 17:55:45.435,1,82019A14,No Relay,46,219,3180,1
2023-03-06 17:55:47.625,1,82019C19,No Relay,42,183,2595,1
2023-03-06 17:55:47.817,1,82019DEE,No Relay,53,210,3190,1
2023-03-06 17:55:48.023,1,8201A0FF,No Relay,46,180,2950,1
2023-03-06 17:55:48.216,1,820198F4,No Relay,44,213,2980,1
2023-03-06 17:55:49.031,1,82019C41,No Relay,62,150,2980,1
